Material,Diameter_Inch,Roughness_mm,Pressure_PSI,Flow_LPM,Leaked_Flag
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,29.99,23.9,0
PVC,0.75,0.0025,29.99,23.9,0
PVC,0.75,0.0025,30.01,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.0,24.0,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.01,24.0,0
PVC,0.75,0.0025,30.0,24.0,0
PVC,0.75,0.0025,30.01,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,29.99,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,29.99,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,29.99,24.0,0
PVC,0.75,0.0025,29.99,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.01,23.9,0
PVC,0.75,0.0025,30.0,24.0,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,29.99,23.9,0
PVC,0.75,0.0025,30.01,24.0,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.0,24.0,0
PVC,0.75,0.0025,29.99,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.01,24.0,0
PVC,0.75,0.0025,30.01,24.0,0
PVC,0.75,0.0025,30.01,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.0,24.0,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.0,24.0,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,29.99,23.9,0
PVC,0.75,0.0025,30.01,23.9,0
PVC,0.75,0.0025,30.0,24.0,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.01,23.9,0
PVC,0.75,0.0025,30.0,24.0,0
PVC,0.75,0.0025,30.0,24.0,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,29.99,24.0,0
PVC,0.75,0.0025,30.01,24.0,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.01,24.0,0
PVC,0.75,0.0025,30.01,23.9,0
PVC,0.75,0.0025,30.01,23.9,0
PVC,0.75,0.0025,29.99,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,29.99,24.0,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,29.99,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,29.99,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.01,23.9,0
PVC,0.75,0.0025,30.01,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,29.99,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.01,24.0,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,29.99,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,29.99,23.9,0
PVC,0.75,0.0025,29.99,23.9,0
PVC,0.75,0.0025,30.01,23.9,0
PVC,0.75,0.0025,30.01,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,29.99,23.9,0
PVC,0.75,0.0025,30.0,24.0,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.0,24.0,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.01,23.9,0
PVC,0.75,0.0025,30.0,24.0,0
PVC,0.75,0.0025,30.01,24.0,0
PVC,0.75,0.0025,30.0,23.9,0
PVC,0.75,0.0025,30.06,23.9,0
PVC,0.75,0.0025,29.99,23.9,0
PVC,0.75,0.0025,29.91,23.9,0
PVC,0.75,0.0025,29.97,23.9,0
PVC,0.75,0.0025,29.97,23.8,0
PVC,0.75,0.0025,29.92,23.9,0
PVC,0.75,0.0025,29.97,23.6,0
PVC,0.75,0.0025,30.03,23.9,0
PVC,0.75,0.0025,30.04,23.9,0
PVC,0.75,0.0025,30.07,23.9,0
PVC,0.75,0.0025,30.0,24.1,0
PVC,0.75,0.0025,30.01,23.9,0
PVC,0.75,0.0025,30.16,24.0,0
PVC,0.75,0.0025,29.97,23.8,0
PVC,0.75,0.0025,30.03,24.0,0
PVC,0.75,0.0025,29.92,23.9,0
PVC,0.75,0.0025,30.04,23.8,0
PVC,0.75,0.0025,30.0,23.8,0
PVC,0.75,0.0025,29.87,23.7,0
PVC,0.75,0.0025,29.99,24.1,0
PVC,0.75,0.0025,29.93,24.1,0
PVC,0.75,0.0025,29.99,23.9,0
PVC,0.75,0.0025,30.0,23.8,0
PVC,0.75,0.0025,29.95,24.0,0
PVC,0.75,0.0025,29.98,24.0,0
PVC,0.75,0.0025,30.02,24.0,0
PVC,0.75,0.0025,29.99,23.9,0
PVC,0.75,0.0025,29.94,23.8,0
PVC,0.75,0.0025,30.01,24.2,0
PVC,0.75,0.0025,29.95,23.8,0
PVC,0.75,0.0025,29.98,23.7,0
PVC,0.75,0.0025,30.02,23.9,0
PVC,0.75,0.0025,30.09,24.0,0
PVC,0.75,0.0025,30.05,23.8,0
PVC,0.75,0.0025,30.07,23.9,0
PVC,0.75,0.0025,29.96,24.1,0
PVC,0.75,0.0025,29.97,24.0,0
PVC,0.75,0.0025,29.93,23.9,0
PVC,0.75,0.0025,29.94,23.9,0
PVC,0.75,0.0025,30.06,23.9,0
PVC,0.75,0.0025,30.02,23.8,0
PVC,0.75,0.0025,30.03,24.0,0
PVC,0.75,0.0025,29.99,23.9,0
PVC,0.75,0.0025,29.99,23.9,0
PVC,0.75,0.0025,30.08,23.9,0
PVC,0.75,0.0025,29.97,23.9,0
PVC,0.75,0.0025,30.01,23.9,0
PVC,0.75,0.0025,30.03,23.9,0
PVC,0.75,0.0025,30.03,23.8,0
PVC,0.75,0.0025,29.95,23.8,0
PVC,0.75,0.0025,29.94,24.0,0
PVC,0.75,0.0025,29.93,23.8,0
PVC,0.75,0.0025,29.97,24.0,0
PVC,0.75,0.0025,30.04,24.1,0
PVC,0.75,0.0025,29.98,23.8,0
PVC,0.75,0.0025,30.03,23.9,0
PVC,0.75,0.0025,29.96,23.9,0
PVC,0.75,0.0025,29.96,24.0,0
PVC,0.75,0.0025,30.01,24.0,0
PVC,0.75,0.0025,30.03,24.0,0
PVC,0.75,0.0025,30.0,23.8,0
PVC,0.75,0.0025,29.96,23.8,0
PVC,0.75,0.0025,30.07,23.8,0
PVC,0.75,0.0025,30.04,23.9,0
PVC,0.75,0.0025,30.01,23.9,0
PVC,0.75,0.0025,29.93,24.0,0
PVC,0.75,0.0025,30.02,24.0,0
PVC,0.75,0.0025,29.98,24.0,0
PVC,0.75,0.0025,30.03,23.9,0
PVC,0.75,0.0025,30.0,23.7,0
PVC,0.75,0.0025,30.06,23.9,0
PVC,0.75,0.0025,29.93,23.8,0
PVC,0.75,0.0025,30.02,24.0,0
PVC,0.75,0.0025,30.03,24.0,0
PVC,0.75,0.0025,30.03,23.9,0
PVC,0.75,0.0025,30.02,23.9,0
PVC,0.75,0.0025,30.02,23.9,0
PVC,0.75,0.0025,30.01,23.9,0
PVC,0.75,0.0025,30.0,24.0,0
PVC,0.75,0.0025,29.92,24.0,0
PVC,0.75,0.0025,30.06,23.7,0
PVC,0.75,0.0025,30.1,24.0,0
PVC,0.75,0.0025,29.94,23.9,0
PVC,0.75,0.0025,30.02,24.0,0
PVC,0.75,0.0025,29.93,24.1,0
PVC,0.75,0.0025,30.0,24.0,0
PVC,0.75,0.0025,29.95,24.0,0
PVC,0.75,0.0025,29.97,23.9,0
PVC,0.75,0.0025,29.99,23.9,0
PVC,0.75,0.0025,29.97,24.1,0
PVC,0.75,0.0025,29.92,23.8,0
PVC,0.75,0.0025,29.99,23.7,0
PVC,0.75,0.0025,30.0,24.0,0
PVC,0.75,0.0025,30.02,24.1,0
PVC,0.75,0.0025,29.98,24.1,0
PVC,0.75,0.0025,30.07,24.1,0
PVC,0.75,0.0025,30.05,24.0,0
PVC,0.75,0.0025,30.06,24.0,0
PVC,0.75,0.0025,30.01,23.9,0
PVC,0.75,0.0025,29.97,24.1,0
PVC,0.75,0.0025,29.98,23.9,0
PVC,0.75,0.0025,30.09,23.9,0
PVC,0.75,0.0025,30.06,23.8,0
PVC,0.75,0.0025,30.02,24.1,0
PVC,0.75,0.0025,30.04,24.0,0
PVC,0.75,0.0025,30.02,24.2,0
PVC,0.75,0.0025,29.93,23.9,0
PVC,0.75,0.0025,29.92,23.9,0
PVC,0.75,0.0025,30.06,24.1,0
PVC,0.75,0.0025,29.95,23.9,0
PVC,0.75,0.0025,30.12,24.0,0
PVC,0.75,0.0025,30.01,23.9,0
PVC,0.75,0.0025,29.92,23.8,0
PVC,0.75,0.0025,30.1,24.1,0
PVC,0.75,0.0025,29.97,24.2,0
PVC,0.75,0.0025,29.99,23.9,0
PVC,0.75,0.0025,30.05,24.0,0
PVC,0.75,0.0025,29.95,24.0,0
PVC,0.75,0.0025,29.94,24.0,0
PVC,0.75,0.0025,29.99,24.0,0
PVC,0.75,0.0025,29.95,23.8,0
PVC,0.75,0.0025,29.97,24.3,0
PVC,0.75,0.0025,30.04,23.7,0
PVC,0.75,0.0025,30.02,24.0,0
PVC,0.75,0.0025,30.05,24.1,0
PVC,0.75,0.0025,30.06,23.9,0
PVC,0.75,0.0025,30.01,24.0,0
PVC,0.75,0.0025,29.98,23.9,0
PVC,0.75,0.0025,30.03,23.9,0
PVC,0.75,0.0025,29.98,23.9,0
PVC,0.75,0.0025,29.92,23.9,0
PVC,0.75,0.0025,30.04,23.7,0
PVC,0.75,0.0025,30.05,24.1,0
PVC,0.75,0.0025,30.01,23.7,0
PVC,0.75,0.0025,30.03,24.2,0
PVC,0.75,0.0025,30.03,24.2,0
PVC,0.75,0.0025,29.99,23.8,0
PVC,0.75,0.0025,30.02,23.8,0
PVC,0.75,0.0025,30.03,24.0,0
PVC,0.75,0.0025,29.92,23.8,0
PVC,0.75,0.0025,30.06,23.8,0
PVC,0.75,0.0025,29.98,23.9,0
PVC,0.75,0.0025,30.06,23.9,0
PVC,0.75,0.0025,30.0,23.8,0
PVC,0.75,0.0025,30.0,24.0,0
PVC,0.75,0.0025,30.02,23.9,0
PVC,0.75,0.0025,29.99,24.0,0
PVC,0.75,0.0025,30.03,24.0,0
PVC,0.75,0.0025,30.0,23.7,0
PVC,0.75,0.0025,30.02,24.0,0
PVC,0.75,0.0025,29.95,24.1,0
PVC,0.75,0.0025,30.04,24.1,0
PVC,0.75,0.0025,30.03,23.9,0
PVC,0.75,0.0025,29.96,23.9,0
PVC,0.75,0.0025,30.0,24.0,0
PVC,0.75,0.0025,29.95,24.0,0
PVC,0.75,0.0025,29.84,24.0,0
PVC,0.75,0.0025,29.95,24.0,0
PVC,0.75,0.0025,30.12,24.0,0
PVC,0.75,0.0025,29.94,23.8,0
PVC,0.75,0.0025,30.1,24.1,0
PVC,0.75,0.0025,30.06,23.9,0
PVC,0.75,0.0025,29.96,24.0,0
PVC,0.75,0.0025,29.97,23.8,0
PVC,0.75,0.0025,30.07,24.0,0
PVC,0.75,0.0025,29.93,23.9,0
PVC,0.75,0.0025,29.99,24.0,0
PVC,0.75,0.0025,30.01,24.2,0
PVC,0.75,0.0025,30.09,24.1,0
PVC,0.75,0.0025,30.04,24.1,0
PVC,0.75,0.0025,30.1,24.1,0
PVC,0.75,0.0025,30.02,23.9,0
PVC,0.75,0.0025,29.95,24.1,0
PVC,0.75,0.0025,30.04,24.0,0
PVC,0.75,0.0025,29.99,23.9,0
PVC,0.75,0.0025,30.03,24.0,0
PVC,0.75,0.0025,30.12,24.0,0
PVC,0.75,0.0025,30.01,24.0,0
PVC,0.75,0.0025,30.0,23.8,0
PVC,0.75,0.0025,29.92,24.0,0
PVC,0.75,0.0025,30.02,24.0,0
PVC,0.75,0.0025,30.1,24.0,0
PVC,0.75,0.0025,30.07,24.0,0
PVC,0.75,0.0025,30.01,23.9,0
PVC,0.75,0.0025,29.99,24.2,0
PVC,0.75,0.0025,29.92,23.9,0
PVC,0.75,0.0025,29.99,23.9,0
PVC,0.75,0.0025,29.98,23.7,0
PVC,0.75,0.0025,29.92,24.0,0
PVC,0.75,0.0025,29.95,24.0,0
PVC,0.75,0.0025,29.95,24.0,0
PVC,0.75,0.0025,29.93,24.0,0
PVC,0.75,0.0025,30.05,23.9,0
PVC,0.75,0.0025,30.02,24.0,0
PVC,0.75,0.0025,29.97,23.9,0
PVC,0.75,0.0025,30.0,24.2,0
PVC,0.75,0.0025,30.0,24.0,0
PVC,0.75,0.0025,30.08,24.2,0
PVC,0.75,0.0025,30.03,24.2,0
PVC,0.75,0.0025,30.06,23.8,0
PVC,0.75,0.0025,30.02,24.0,0
PVC,0.75,0.0025,29.92,23.8,0
PVC,0.75,0.0025,30.04,23.9,0
PVC,0.75,0.0025,29.94,24.0,0
PVC,0.75,0.0025,29.98,23.9,0
PVC,0.75,0.0025,29.9,24.1,0
PVC,0.75,0.0025,29.92,24.0,0
PVC,0.75,0.0025,29.99,23.8,0
PVC,0.75,0.0025,30.02,23.8,0
PVC,0.75,0.0025,30.09,24.0,0
PVC,0.75,0.0025,30.03,24.1,0
PVC,0.75,0.0025,30.02,23.8,0
PVC,0.75,0.0025,29.98,24.0,0
PVC,0.75,0.0025,29.98,24.0,0
PVC,0.75,0.0025,30.03,23.9,0
PVC,0.75,0.0025,29.98,23.9,0
PVC,0.75,0.0025,29.96,23.9,0
PVC,0.75,0.0025,30.0,23.8,0
PVC,0.75,0.0025,29.86,23.9,0
PVC,0.75,0.0025,30.15,24.0,0
PVC,0.75,0.0025,29.98,24.0,0
PVC,0.75,0.0025,30.01,24.2,0
PVC,0.75,0.0025,29.94,23.8,0
PVC,0.75,0.0025,30.03,24.0,0
PVC,0.75,0.0025,30.05,23.7,0
PVC,0.75,0.0025,30.06,24.0,0
PVC,0.75,0.0025,30.05,24.1,0
PVC,0.75,0.0025,30.11,23.8,0
PVC,0.75,0.0025,29.96,23.9,0
PVC,0.75,0.0025,30.03,24.0,0
PVC,0.75,0.0025,30.0,23.8,0
PVC,0.75,0.0025,29.99,23.8,0
PVC,0.75,0.0025,30.04,24.1,0
PVC,0.75,0.0025,30.03,23.8,0
PVC,0.75,0.0025,30.04,24.1,0
PVC,0.75,0.0025,30.01,24.0,0
PVC,0.75,0.0025,29.99,23.7,0
PVC,0.75,0.0025,29.93,23.9,0
PVC,0.75,0.0025,30.09,23.9,0
PVC,0.75,0.0025,30.01,24.2,0
PVC,0.75,0.0025,29.98,24.0,0
PVC,0.75,0.0025,30.04,24.0,0
PVC,0.75,0.0025,30.04,23.9,0
PVC,0.75,0.0025,29.95,23.7,0
PVC,0.75,0.0025,30.05,23.9,0
PVC,0.75,0.0025,29.98,24.1,0
PVC,0.75,0.0025,29.96,24.0,0
PVC,0.75,0.0025,30.0,23.8,0
PVC,0.75,0.0025,29.98,23.7,0
PVC,0.75,0.0025,29.93,24.0,0
PVC,0.75,0.0025,30.07,24.1,0
PVC,0.75,0.0025,29.99,23.8,0
PVC,0.75,0.0025,30.07,24.2,0
PVC,0.75,0.0025,30.14,24.0,0
PVC,0.75,0.0025,30.08,23.9,0
PVC,0.75,0.0025,29.89,23.8,0
PVC,0.75,0.0025,29.98,23.9,0
PVC,0.75,0.0025,29.94,24.0,0
PVC,0.75,0.0025,29.98,23.9,0
PVC,0.75,0.0025,29.94,24.0,0
PVC,0.75,0.0025,29.99,23.9,0
PVC,0.75,0.0025,29.98,23.7,0
PVC,0.75,0.0025,29.89,23.9,0
PVC,0.75,0.0025,29.98,23.8,0
PVC,0.75,0.0025,30.06,23.9,0
PVC,0.75,0.0025,30.11,23.9,0
PVC,0.75,0.0025,29.98,24.0,0
PVC,0.75,0.0025,30.03,24.0,0
PVC,0.75,0.0025,29.93,23.9,0
PVC,0.75,0.0025,30.0,23.8,0
PVC,0.75,0.0025,30.02,23.9,0
PVC,0.75,0.0025,30.01,23.9,0
PVC,0.75,0.0025,30.01,23.7,0
PVC,0.75,0.0025,30.04,24.0,0
PVC,0.75,0.0025,30.07,24.1,0
PVC,0.75,0.0025,30.01,23.8,0
PVC,0.75,0.0025,29.91,23.9,0
PVC,0.75,0.0025,30.0,24.0,0
PVC,0.75,0.0025,30.02,24.0,0
PVC,0.75,0.0025,29.94,23.7,0
PVC,0.75,0.0025,29.92,24.0,0
PVC,0.75,0.0025,30.06,24.0,0
PVC,0.75,0.0025,30.08,23.8,0
PVC,0.75,0.0025,30.03,23.9,0
PVC,0.75,0.0025,29.93,23.8,0
PVC,0.75,0.0025,30.05,24.1,0
PVC,0.75,0.0025,30.03,24.0,0
PVC,0.75,0.0025,30.02,24.1,0
PVC,0.75,0.0025,29.99,23.9,0
PVC,0.75,0.0025,29.99,23.8,0
PVC,0.75,0.0025,30.02,23.8,0
PVC,0.75,0.0025,29.99,24.0,0
PVC,0.75,0.0025,29.98,23.8,0
PVC,0.75,0.0025,30.1,24.0,0
PVC,0.75,0.0025,30.03,24.1,0
PVC,0.75,0.0025,30.05,24.0,0
PVC,0.75,0.0025,30.02,23.8,0
PVC,0.75,0.0025,30.13,24.0,0
PVC,0.75,0.0025,29.98,23.8,0
PVC,0.75,0.0025,29.81,23.8,0
PVC,0.75,0.0025,29.95,23.8,0
PVC,0.75,0.0025,29.95,23.7,0
PVC,0.75,0.0025,29.84,23.9,0
PVC,0.75,0.0025,29.94,23.4,0
